station_name,city,station_lat,station_lon,year,month,time_key,aqi,pm25,pm10,aqi_30d_avg,aqi_90d_avg
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2017,1,2017-01,108,59,97,108,108.0
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2017,2,2017-02,80,45,74,80,80.0
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2017,3,2017-03,64,34,55,64,84.0
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2017,4,2017-04,71,38,62,71,71.7
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2017,5,2017-05,62,32,53,62,65.7
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2017,6,2017-06,68,39,64,68,67.0
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2017,7,2017-07,33,18,29,33,54.3
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2017,8,2017-08,34,19,31,34,45.0
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2017,9,2017-09,30,16,27,30,32.3
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2017,10,2017-10,84,45,74,84,49.3
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2017,11,2017-11,96,55,90,96,70.0
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2017,12,2017-12,93,49,81,93,91.0
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2018,1,2018-01,114,59,97,114,101.0
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2018,2,2018-02,74,42,69,74,93.7
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2018,3,2018-03,64,35,58,64,84.0
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2018,4,2018-04,64,34,55,64,67.3
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2018,5,2018-05,64,35,57,64,64.0
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2018,6,2018-06,59,33,54,59,62.3
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2018,7,2018-07,33,17,28,33,52.0
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2018,8,2018-08,34,19,31,34,42.0
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2018,9,2018-09,33,18,30,33,33.3
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2018,10,2018-10,75,42,69,75,47.3
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2018,11,2018-11,101,55,90,101,69.7
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2018,12,2018-12,110,62,102,110,95.3
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2019,1,2019-01,106,58,96,106,105.7
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2019,2,2019-02,81,44,72,81,99.0
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2019,3,2019-03,63,36,58,63,83.3
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2019,4,2019-04,68,37,61,68,70.7
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2019,5,2019-05,68,37,61,68,66.3
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2019,6,2019-06,58,31,51,58,64.7
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2019,7,2019-07,33,18,29,33,53.0
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2019,8,2019-08,31,16,26,31,40.7
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2019,9,2019-09,34,19,32,34,32.7
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2019,10,2019-10,77,44,72,77,47.3
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2019,11,2019-11,100,57,93,100,70.3
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2019,12,2019-12,93,53,87,93,90.0
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2020,1,2020-01,108,57,93,108,100.3
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2020,2,2020-02,84,46,76,84,95.0
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2020,3,2020-03,71,40,66,71,87.7
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2020,4,2020-04,59,33,54,59,71.3
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2020,5,2020-05,71,38,63,71,67.0
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2020,6,2020-06,71,40,66,71,67.0
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2020,7,2020-07,35,19,31,35,59.0
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2020,8,2020-08,33,18,29,33,46.3
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2020,9,2020-09,31,16,27,31,33.0
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2020,10,2020-10,73,40,65,73,45.7
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2020,11,2020-11,111,59,97,111,71.7
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2020,12,2020-12,113,60,99,113,99.0
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2021,1,2021-01,114,60,98,114,112.7
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2021,2,2021-02,81,45,74,81,102.7
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2021,3,2021-03,66,37,60,66,87.0
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2021,4,2021-04,58,33,54,58,68.3
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2021,5,2021-05,64,33,55,64,62.7
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2021,6,2021-06,61,34,56,61,61.0
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2021,7,2021-07,29,16,26,29,51.3
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2021,8,2021-08,32,17,28,32,40.7
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2021,9,2021-09,35,19,31,35,32.0
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2021,10,2021-10,77,40,65,77,48.0
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2021,11,2021-11,107,58,95,107,73.0
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2021,12,2021-12,112,61,100,112,98.7
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2022,1,2022-01,107,55,91,107,108.7
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2022,2,2022-02,85,46,75,85,101.3
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2022,3,2022-03,70,40,66,70,87.3
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2022,4,2022-04,70,38,62,70,75.0
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2022,5,2022-05,61,33,54,61,67.0
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2022,6,2022-06,65,37,60,65,65.3
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2022,7,2022-07,32,16,27,32,52.7
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2022,8,2022-08,30,17,28,30,42.3
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2022,9,2022-09,35,18,29,35,32.3
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2022,10,2022-10,73,39,64,73,46.0
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2022,11,2022-11,94,53,87,94,67.3
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2022,12,2022-12,108,61,100,108,91.7
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2023,1,2023-01,96,51,83,96,99.3
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2023,2,2023-02,71,37,61,71,91.7
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2023,3,2023-03,67,35,58,67,78.0
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2023,4,2023-04,71,40,65,71,69.7
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2023,5,2023-05,70,39,64,70,69.3
CPCB_BLR_BTM,Bengaluru,12.915,77.61,2023,6,2023-06,62,32,53,62,67.7
